Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
2.66280,-66.30360,-3.63980,0.50727
2.66380,-66.30371,-3.64214,0.50760
2.66480,-66.30387,-3.64983,0.50867
2.66580,-66.30405,-3.66223,0.51039
2.66680,-66.30426,-3.67820,0.51262
2.66780,-66.30447,-3.69614,0.51511
2.66880,-66.30465,-3.71410,0.51761
2.66980,-66.30481,-3.73027,0.51986
2.67080,-66.30492,-3.74296,0.52163
2.67180,-66.30497,-3.75074,0.52271
2.67200,-66.30497,-3.75074,0.52271
2.67280,-66.30497,-3.75294,0.52302
2.67380,-66.30491,-3.74948,0.52254
2.67480,-66.30480,-3.74090,0.52135
2.67580,-66.30467,-3.72802,0.51955
2.67680,-66.30452,-3.71197,0.51732
2.67780,-66.30438,-3.69436,0.51487
2.67880,-66.30426,-3.67676,0.51242
2.67980,-66.30417,-3.66086,0.51020
2.68080,-66.30411,-3.64828,0.50845
2.68180,-66.30411,-3.64011,0.50731
2.68280,-66.30417,-3.63715,0.50690
2.68380,-66.30428,-3.63973,0.50725
2.68480,-66.30444,-3.64771,0.50836
2.68580,-66.30462,-3.66043,0.51013
2.68680,-66.30483,-3.67676,0.51241
2.68780,-66.30504,-3.69509,0.51496
2.68800,-66.30504,-3.69509,0.51496
2.68880,-66.30522,-3.71345,0.51751
2.68980,-66.30538,-3.72995,0.51981
2.69080,-66.30548,-3.74290,0.52161
2.69180,-66.30553,-3.75087,0.52272
2.69280,-66.30552,-3.75319,0.52305
2.69380,-66.30545,-3.74981,0.52258
2.69480,-66.30534,-3.74125,0.52139
2.69580,-66.30520,-3.72827,0.51958
2.69680,-66.30504,-3.71199,0.51731
2.69780,-66.30489,-3.69404,0.51481
2.69880,-66.30475,-3.67605,0.51231
2.69980,-66.30464,-3.65975,0.51004
2.70080,-66.30458,-3.64679,0.50823
2.70180,-66.30458,-3.63824,0.50704
2.70280,-66.30463,-3.63490,0.50658
2.70380,-66.30474,-3.63712,0.50688
2.70400,-66.30474,-3.63712,0.50688
2.70480,-66.30488,-3.64481,0.50795
2.70580,-66.30506,-3.65737,0.50970
2.70680,-66.30526,-3.67364,0.51196
2.70780,-66.30546,-3.69199,0.51452
2.70880,-66.30565,-3.71041,0.51708
2.70980,-66.30580,-3.72704,0.51940
2.71080,-66.30591,-3.74016,0.52123
2.71180,-66.30597,-3.74838,0.52237
2.71280,-66.30596,-3.75100,0.52274
2.71380,-66.30590,-3.74790,0.52230
2.71480,-66.30580,-3.73955,0.52114
2.71580,-66.30566,-3.72672,0.51936
2.71680,-66.30550,-3.71054,0.51710
2.71780,-66.30535,-3.69267,0.51462
2.71880,-66.30521,-3.67471,0.51211
2.71980,-66.30511,-3.65838,0.50984
2.72000,-66.30511,-3.65838,0.50984
2.72080,-66.30504,-3.64532,0.50802
2.72180,-66.30504,-3.63660,0.50681
2.72280,-66.30509,-3.63307,0.50631
2.72380,-66.30519,-3.63512,0.50660
2.72480,-66.30535,-3.64263,0.50764
2.72580,-66.30552,-3.65499,0.50936
2.72680,-66.30573,-3.67105,0.51160
2.72780,-66.30592,-3.68920,0.51412
2.72880,-66.30611,-3.70749,0.51667
2.72980,-66.30626,-3.72407,0.51898
2.73080,-66.30637,-3.73724,0.52081
2.73180,-66.30643,-3.74556,0.52197
2.73280,-66.30643,-3.74831,0.52235
2.73380,-66.30637,-3.74537,0.52194
2.73480,-66.30628,-3.73726,0.52082
2.73580,-66.30615,-3.72473,0.51907
2.73600,-66.30615,-3.72473,0.51907
2.73680,-66.30599,-3.70889,0.51687
2.73780,-66.30584,-3.69133,0.51442
2.73880,-66.30570,-3.67361,0.51195
2.73980,-66.30559,-3.65745,0.50970
2.74080,-66.30554,-3.64450,0.50790
2.74180,-66.30553,-3.63590,0.50670
2.74280,-66.30558,-3.63246,0.50622
2.74380,-66.30569,-3.63456,0.50651
2.74480,-66.30583,-3.64209,0.50756
2.74580,-66.30601,-3.65443,0.50928
2.74680,-66.30621,-3.67044,0.51150
2.74780,-66.30641,-3.68855,0.51402
2.74880,-66.30660,-3.70679,0.51657
2.74980,-66.30676,-3.72333,0.51887
2.75080,-66.30686,-3.73643,0.52069
2.75180,-66.30692,-3.74469,0.52184
2.75200,-66.30692,-3.74469,0.52184
2.75280,-66.30692,-3.74737,0.52222
2.75380,-66.30687,-3.74439,0.52180
2.75480,-66.30677,-3.73621,0.52066
2.75580,-66.30663,-3.72360,0.51891
2.75680,-66.30648,-3.70764,0.51668
2.75780,-66.30632,-3.68993,0.51422
2.75880,-66.30618,-3.67209,0.51174
2.75980,-66.30609,-3.65586,0.50947
2.76080,-66.30602,-3.64287,0.50767
2.76180,-66.30601,-3.63422,0.50646
2.76280,-66.30607,-3.63071,0.50597
2.76380,-66.30617,-3.63272,0.50625
2.76480,-66.30632,-3.64017,0.50728
2.76580,-66.30650,-3.65247,0.50900
2.76680,-66.30670,-3.66850,0.51123
2.76780,-66.30690,-3.68666,0.51375
2.76800,-66.30690,-3.68666,0.51375
2.76880,-66.30708,-3.70494,0.51630
2.76980,-66.30724,-3.72150,0.51860
2.77080,-66.30735,-3.73465,0.52044
2.77180,-66.30741,-3.74298,0.52160
2.77280,-66.30741,-3.74576,0.52198
2.77380,-66.30735,-3.74284,0.52158
2.77480,-66.30725,-3.73468,0.52044
2.77580,-66.30712,-3.72202,0.51868
2.77680,-66.30696,-3.70599,0.51645
2.77780,-66.30681,-3.68821,0.51397
2.77880,-66.30668,-3.67028,0.51148
2.77980,-66.30657,-3.65395,0.50920
2.78080,-66.30651,-3.64085,0.50738
2.78180,-66.30651,-3.63208,0.50615
2.78280,-66.30656,-3.62847,0.50565
2.78380,-66.30666,-3.63043,0.50592
2.78400,-66.30666,-3.63043,0.50592
2.78480,-66.30681,-3.63787,0.50696
2.78580,-66.30700,-3.65017,0.50867
2.78680,-66.30720,-3.66618,0.51090
2.78780,-66.30740,-3.68428,0.51342
2.78880,-66.30760,-3.70253,0.51596
2.78980,-66.30776,-3.71910,0.51826
2.79080,-66.30788,-3.73225,0.52009
2.79180,-66.30794,-3.74056,0.52125
2.79280,-66.30794,-3.74329,0.52163
2.79380,-66.30789,-3.74031,0.52122
2.79480,-66.30778,-3.73211,0.52008
2.79580,-66.30765,-3.71946,0.51831
2.79680,-66.30750,-3.70346,0.51609
2.79780,-66.30736,-3.68571,0.51362
2.79880,-66.30723,-3.66781,0.51112
2.79980,-66.30713,-3.65150,0.50885
2.80000,-66.30713,-3.65150,0.50885
2.80080,-66.30708,-3.63847,0.50704
2.80180,-66.30708,-3.62986,0.50584
2.80280,-66.30714,-3.62649,0.50537
2.80380,-66.30724,-3.62873,0.50568
2.80480,-66.30740,-3.63645,0.50675
2.80580,-66.30759,-3.64901,0.50850
2.80680,-66.30779,-3.66528,0.51076
2.80780,-66.30799,-3.68366,0.51332
2.80880,-66.30818,-3.70216,0.51590
2.80980,-66.30835,-3.71894,0.51823
2.81080,-66.30847,-3.73226,0.52009
2.81180,-66.30853,-3.74070,0.52126
2.81280,-66.30853,-3.74353,0.52166
2.81380,-66.30847,-3.74066,0.52126
2.81480,-66.30837,-3.73255,0.52013
2.81580,-66.30824,-3.71994,0.51837
2.81600,-66.30824,-3.71994,0.51837
2.81680,-66.30809,-3.70391,0.51614
2.81780,-66.30794,-3.68609,0.51366
2.81880,-66.30780,-3.66808,0.51115
2.81980,-66.30769,-3.65164,0.50886
2.82080,-66.30763,-3.63845,0.50702
2.82180,-66.30763,-3.62960,0.50579
2.82280,-66.30768,-3.62591,0.50528
2.82380,-66.30778,-3.62778,0.50554
2.82480,-66.30794,-3.63513,0.50656
2.82580,-66.30812,-3.64740,0.50827
2.82680,-66.30832,-3.66347,0.51050
2.82780,-66.30853,-3.68172,0.51304
2.82880,-66.30872,-3.70015,0.51561
2.82980,-66.30888,-3.71691,0.51794
2.83080,-66.30900,-3.73026,0.51980
2.83180,-66.30906,-3.73879,0.52099
2.83200,-66.30906,-3.73879,0.52099
2.83280,-66.30906,-3.74176,0.52140
2.83380,-66.30901,-3.73901,0.52102
2.83480,-66.30891,-3.73097,0.51990
2.83580,-66.30877,-3.71838,0.51815
2.83680,-66.30862,-3.70234,0.51591
2.83780,-66.30847,-3.68448,0.51343
2.83880,-66.30833,-3.66641,0.51091
2.83980,-66.30822,-3.64985,0.50861
2.84080,-66.30816,-3.63646,0.50674
2.84180,-66.30816,-3.62735,0.50547
2.84280,-66.30821,-3.62337,0.50491
2.84380,-66.30832,-3.62496,0.50513
2.84480,-66.30847,-3.63208,0.50612
2.84580,-66.30865,-3.64413,0.50780
2.84680,-66.30885,-3.66000,0.51001
2.84780,-66.30906,-3.67807,0.51252
2.84800,-66.30906,-3.67807,0.51252
2.84880,-66.30925,-3.69638,0.51507
2.84980,-66.30942,-3.71308,0.51740
2.85080,-66.30953,-3.72647,0.51926
2.85180,-66.30959,-3.73508,0.52046
2.85280,-66.30959,-3.73816,0.52089
2.85380,-66.30954,-3.73556,0.52053
2.85480,-66.30944,-3.72773,0.51944
2.85580,-66.30931,-3.71540,0.51772
2.85680,-66.30915,-3.69966,0.51553
2.85780,-66.30900,-3.68207,0.51308
2.85880,-66.30886,-3.66421,0.51060
2.85980,-66.30876,-3.64781,0.50831
2.86080,-66.30870,-3.63457,0.50647
2.86180,-66.30869,-3.62564,0.50522
2.86280,-66.30874,-3.62187,0.50470
2.86380,-66.30885,-3.62367,0.50495
2.86400,-66.30885,-3.62367,0.50495
2.86480,-66.30900,-3.63100,0.50597
2.86580,-66.30917,-3.64324,0.50767
2.86680,-66.30938,-3.65929,0.50990
2.86780,-66.30957,-3.67755,0.51244
2.86880,-66.30976,-3.69604,0.51502
2.86980,-66.30992,-3.71291,0.51737
2.87080,-66.31003,-3.72643,0.51925
2.87180,-66.31008,-3.73515,0.52046
2.87280,-66.31008,-3.73833,0.52091
2.87380,-66.31001,-3.73582,0.52056
2.87480,-66.30991,-3.72804,0.51948
2.87580,-66.30977,-3.71569,0.51776
2.87680,-66.30961,-3.69981,0.51555
2.87780,-66.30945,-3.68202,0.51307
2.87880,-66.30931,-3.66393,0.51055
2.87980,-66.30919,-3.64733,0.50824
2.88000,-66.30919,-3.64733,0.50824
2.88080,-66.30913,-3.63390,0.50637
2.88180,-66.30912,-3.62478,0.50510
2.88280,-66.30916,-3.62080,0.50454
2.88380,-66.30926,-3.62238,0.50476
2.88480,-66.30941,-3.62949,0.50575
2.88580,-66.30959,-3.64156,0.50743
2.88680,-66.30980,-3.65751,0.50965
2.88780,-66.31002,-3.67574,0.51219
2.88880,-66.31022,-3.69427,0.51476
2.88980,-66.31038,-3.71123,0.51712
2.89080,-66.31051,-3.72488,0.51903
2.89180,-66.31058,-3.73378,0.52026
2.89280,-66.31058,-3.73715,0.52073
2.89380,-66.31054,-3.73479,0.52041
2.89480,-66.31044,-3.72711,0.51934
2.89580,-66.31032,-3.71481,0.51763
2.89600,-66.31032,-3.71481,0.51763
2.89680,-66.31016,-3.69898,0.51542
2.89780,-66.31002,-3.68122,0.51295
2.89880,-66.30988,-3.66314,0.51043
2.89980,-66.30978,-3.64647,0.50811
2.90080,-66.30972,-3.63289,0.50622
2.90180,-66.30971,-3.62357,0.50492
2.90280,-66.30976,-3.61938,0.50434
2.90380,-66.30987,-3.62077,0.50453
2.90480,-66.31002,-3.62772,0.50549
2.90580,-66.31020,-3.63962,0.50715
2.90680,-66.31041,-3.65538,0.50934
2.90780,-66.31062,-3.67342,0.51185
2.90880,-66.31083,-3.69178,0.51441
2.90980,-66.31099,-3.70864,0.51676
2.91080,-66.31112,-3.72228,0.51865
2.91180,-66.31119,-3.73120,0.51989
2.91200,-66.31119,-3.73120,0.51989
2.91280,-66.31119,-3.73460,0.52037
2.91380,-66.31114,-3.73230,0.52005
2.91480,-66.31105,-3.72473,0.51900
2.91580,-66.31093,-3.71262,0.51731
2.91680,-66.31077,-3.69699,0.51514
2.91780,-66.31062,-3.67943,0.51269
2.91880,-66.31049,-3.66149,0.51019
2.91980,-66.31039,-3.64493,0.50789
2.92080,-66.31033,-3.63145,0.50601
2.92180,-66.31032,-3.62226,0.50473
2.92280,-66.31036,-3.61820,0.50416
2.92380,-66.31046,-3.61969,0.50437
2.92480,-66.31060,-3.62671,0.50535
2.92580,-66.31078,-3.63866,0.50701
2.92680,-66.31098,-3.65443,0.50920
2.92780,-66.31119,-3.67250,0.51172
2.92800,-66.31119,-3.67250,0.51172
2.92880,-66.31138,-3.69090,0.51428
2.92980,-66.31154,-3.70776,0.51662
2.93080,-66.31166,-3.72136,0.51852
2.93180,-66.31173,-3.73022,0.51975
2.93280,-66.31173,-3.73358,0.52022
2.93380,-66.31167,-3.73125,0.51989
2.93480,-66.31157,-3.72369,0.51884
2.93580,-66.31144,-3.71158,0.51716
2.93680,-66.31129,-3.69597,0.51499
2.93780,-66.31113,-3.67843,0.51254
2.93880,-66.31098,-3.66054,0.51005
2.93980,-66.31087,-3.64403,0.50775
2.94080,-66.31081,-3.63059,0.50588
2.94180,-66.31079,-3.62138,0.50460
2.94280,-66.31083,-3.61726,0.50402
2.94380,-66.31092,-3.61867,0.50422
2.94400,-66.31092,-3.61867,0.50422
2.94480,-66.31106,-3.62561,0.50518
2.94580,-66.31125,-3.63752,0.50684
2.94680,-66.31145,-3.65329,0.50904
2.94780,-66.31165,-3.67136,0.51155
2.94880,-66.31184,-3.68973,0.51411
2.94980,-66.31201,-3.70656,0.51645
2.95080,-66.31212,-3.72013,0.51834
2.95180,-66.31218,-3.72899,0.51957
2.95280,-66.31219,-3.73235,0.52004
2.95380,-66.31213,-3.73000,0.51971
2.95480,-66.31203,-3.72238,0.51865
2.95580,-66.31190,-3.71016,0.51695
2.95680,-66.31174,-3.69443,0.51476
2.95780,-66.31159,-3.67677,0.51231
2.95880,-66.31145,-3.65878,0.50980
2.95980,-66.31134,-3.64220,0.50749
2.96000,-66.31134,-3.64220,0.50749
2.96080,-66.31127,-3.62869,0.50561
2.96180,-66.31126,-3.61944,0.50432
2.96280,-66.31131,-3.61532,0.50375
2.96380,-66.31140,-3.61679,0.50395
2.96480,-66.31155,-3.62383,0.50493
2.96580,-66.31174,-3.63583,0.50660
2.96680,-66.31195,-3.65167,0.50880
2.96780,-66.31216,-3.66980,0.51133
2.96880,-66.31236,-3.68824,0.51389
2.96980,-66.31252,-3.70516,0.51625
2.97080,-66.31265,-3.71883,0.51815
2.97180,-66.31272,-3.72775,0.51939
2.97280,-66.31273,-3.73112,0.51986
2.97380,-66.31268,-3.72874,0.51953
2.97480,-66.31258,-3.72104,0.51846
2.97580,-66.31246,-3.70875,0.51675
2.97600,-66.31246,-3.70875,0.51675
2.97680,-66.31231,-3.69293,0.51455
2.97780,-66.31216,-3.67514,0.51207
2.97880,-66.31203,-3.65695,0.50954
2.97980,-66.31192,-3.64012,0.50719
2.98080,-66.31186,-3.62638,0.50528
2.98180,-66.31185,-3.61695,0.50397
2.98280,-66.31190,-3.61272,0.50338
2.98380,-66.31199,-3.61412,0.50357
2.98480,-66.31214,-3.62114,0.50455
2.98580,-66.31233,-3.63318,0.50622
2.98680,-66.31254,-3.64913,0.50844
2.98780,-66.31275,-3.66747,0.51099
2.98880,-66.31295,-3.68621,0.51360
2.98980,-66.31311,-3.70347,0.51600
2.99080,-66.31324,-3.71749,0.51795
2.99180,-66.31331,-3.72676,0.51924
2.99200,-66.31331,-3.72676,0.51924
2.99280,-66.31331,-3.73048,0.51976
2.99380,-66.31326,-3.72846,0.51948
2.99480,-66.31315,-3.72111,0.51846
2.99580,-66.31302,-3.70910,0.51679
2.99680,-66.31285,-3.69346,0.51461
2.99780,-66.31270,-3.67575,0.51215
2.99880,-66.31254,-3.65752,0.50961
2.99980,-66.31243,-3.64057,0.50725
3.00080,-66.31235,-3.62660,0.50530
3.00180,-66.31233,-3.61682,0.50394
3.00280,-66.31236,-3.61213,0.50329
3.00380,-66.31245,-3.61300,0.50341
3.00480,-66.31258,-3.61949,0.50431
3.00580,-66.31276,-3.63104,0.50592
3.00680,-66.31296,-3.64660,0.50808
3.00780,-66.31316,-3.66463,0.51059
3.00800,-66.31316,-3.66463,0.51059
3.00880,-66.31335,-3.68316,0.51317
3.00980,-66.31351,-3.70032,0.51556
3.01080,-66.31363,-3.71434,0.51751
3.01180,-66.31369,-3.72372,0.51882
3.01280,-66.31370,-3.72762,0.51936
3.01380,-66.31364,-3.72578,0.51910
3.01480,-66.31354,-3.71859,0.51810
3.01580,-66.31341,-3.70672,0.51645
3.01680,-66.31325,-3.69120,0.51429
3.01780,-66.31310,-3.67361,0.51184
3.01880,-66.31296,-3.65549,0.50932
3.01980,-66.31285,-3.63858,0.50696
3.02080,-66.31278,-3.62457,0.50501
3.02180,-66.31276,-3.61471,0.50364
3.02280,-66.31280,-3.60992,0.50297
3.02380,-66.31289,-3.61071,0.50308
3.02400,-66.31289,-3.61071,0.50308
3.02480,-66.31304,-3.61715,0.50398
3.02580,-66.31321,-3.62869,0.50558
3.02680,-66.31342,-3.64427,0.50775
3.02780,-66.31363,-3.66234,0.51026
3.02880,-66.31383,-3.68094,0.51285
3.02980,-66.31400,-3.69820,0.51525
3.03080,-66.31412,-3.71232,0.51722
3.03180,-66.31419,-3.72174,0.51853
3.03280,-66.31420,-3.72559,0.51907
3.03380,-66.31414,-3.72363,0.51880
3.03480,-66.31404,-3.71628,0.51777
3.03580,-66.31390,-3.70425,0.51610
3.03680,-66.31374,-3.68856,0.51392
3.03780,-66.31357,-3.67075,0.51144
3.03880,-66.31343,-3.65237,0.50888
3.03980,-66.31331,-3.63521,0.50649
3.04000,-66.31331,-3.63521,0.50649
3.04080,-66.31323,-3.62100,0.50451
3.04180,-66.31321,-3.61102,0.50312
3.04280,-66.31324,-3.60617,0.50244
3.04380,-66.31333,-3.60696,0.50255
3.04480,-66.31347,-3.61342,0.50345
3.04580,-66.31364,-3.62498,0.50506
3.04680,-66.31384,-3.64060,0.50723
3.04780,-66.31405,-3.65878,0.50976
3.04880,-66.31424,-3.67754,0.51237
3.04980,-66.31440,-3.69498,0.51480
3.05080,-66.31452,-3.70929,0.51679
3.05180,-66.31460,-3.71892,0.51813
3.05280,-66.31460,-3.72304,0.51871
3.05380,-66.31454,-3.72138,0.51848
3.05480,-66.31444,-3.71434,0.51750
3.05580,-66.31430,-3.70257,0.51586
3.05600,-66.31430,-3.70257,0.51586
3.05680,-66.31414,-3.68705,0.51370
3.05780,-66.31398,-3.66931,0.51123
3.05880,-66.31383,-3.65094,0.50867
3.05980,-66.31371,-3.63373,0.50628
3.06080,-66.31364,-3.61942,0.50428
3.06180,-66.31362,-3.60927,0.50287
3.06280,-66.31365,-3.60418,0.50216
3.06380,-66.31374,-3.60465,0.50222
3.06480,-66.31387,-3.61080,0.50308
3.06580,-66.31405,-3.62212,0.50465
3.06680,-66.31424,-3.63758,0.50681
3.06780,-66.31445,-3.65568,0.50932
3.06880,-66.31464,-3.67440,0.51193
3.06980,-66.31481,-3.69187,0.51436
3.07080,-66.31493,-3.70628,0.51637
3.07180,-66.31500,-3.71608,0.51773
3.07200,-66.31500,-3.71608,0.51773
3.07280,-66.31500,-3.72041,0.51833
3.07380,-66.31495,-3.71897,0.51813
3.07480,-66.31485,-3.71212,0.51718
3.07580,-66.31471,-3.70051,0.51557
3.07680,-66.31454,-3.68512,0.51342
3.07780,-66.31437,-3.66750,0.51097
3.07880,-66.31422,-3.64919,0.50842
3.07980,-66.31410,-3.63195,0.50602
3.08080,-66.31401,-3.61751,0.50401
3.08180,-66.31399,-3.60717,0.50257
3.08280,-66.31401,-3.60189,0.50183
3.08380,-66.31409,-3.60221,0.50188
3.08480,-66.31422,-3.60825,0.50272
3.08580,-66.31439,-3.61947,0.50428
3.08680,-66.31458,-3.63485,0.50642
3.08780,-66.31478,-3.65290,0.50893
3.08800,-66.31478,-3.65290,0.50893
3.08880,-66.31497,-3.67165,0.51154
3.08980,-66.31514,-3.68923,0.51399
3.09080,-66.31527,-3.70382,0.51602
3.09180,-66.31534,-3.71384,0.51741
3.09280,-66.31535,-3.71837,0.51804
3.09380,-66.31530,-3.71711,0.51787
3.09480,-66.31520,-3.71044,0.51694
3.09580,-66.31507,-3.69899,0.51535
3.09680,-66.31490,-3.68375,0.51323
3.09780,-66.31475,-3.66616,0.51078
3.09880,-66.31460,-3.64778,0.50822
3.09980,-66.31448,-3.63040,0.50580
3.10080,-66.31441,-3.61579,0.50377
3.10180,-66.31438,-3.60529,0.50230
3.10280,-66.31441,-3.59986,0.50155
3.10380,-66.31450,-3.60003,0.50157
3.10400,-66.31450,-3.60003,0.50157
3.10480,-66.31464,-3.60591,0.50239
3.10580,-66.31481,-3.61699,0.50393
3.10680,-66.31501,-3.63230,0.50606
3.10780,-66.31522,-3.65037,0.50857
3.10880,-66.31542,-3.66923,0.51120
3.10980,-66.31559,-3.68697,0.51367
3.11080,-66.31572,-3.70172,0.51572
3.11180,-66.31579,-3.71191,0.51714
3.11280,-66.31580,-3.71660,0.51779
3.11380,-66.31576,-3.71549,0.51764
3.11480,-66.31566,-3.70893,0.51672
3.11580,-66.31552,-3.69754,0.51514
3.11680,-66.31536,-3.68227,0.51301
3.11780,-66.31519,-3.66461,0.51056
3.11880,-66.31504,-3.64612,0.50798
3.11980,-66.31492,-3.62860,0.50554
3.12000,-66.31492,-3.62860,0.50554
3.12080,-66.31484,-3.61378,0.50348
3.12180,-66.31481,-3.60301,0.50198
3.12280,-66.31483,-3.59723,0.50117
3.12380,-66.31491,-3.59701,0.50114
3.12480,-66.31504,-3.60254,0.50191
3.12580,-66.31521,-3.61333,0.50341
3.12680,-66.31541,-3.62843,0.50551
3.12780,-66.31562,-3.64638,0.50801
3.12880,-66.31582,-3.66518,0.51063
3.12980,-66.31599,-3.68292,0.51310
3.13080,-66.31612,-3.69778,0.51516
3.13180,-66.31620,-3.70816,0.51661
3.13280,-66.31622,-3.71312,0.51730
3.13380,-66.31618,-3.71228,0.51718
3.13480,-66.31609,-3.70598,0.51631
3.13580,-66.31595,-3.69482,0.51475
3.13600,-66.31595,-3.69482,0.51475
3.13680,-66.31580,-3.67978,0.51266
3.13780,-66.31564,-3.66232,0.51023
3.13880,-66.31549,-3.64400,0.50768
3.13980,-66.31537,-3.62659,0.50526
3.14080,-66.31529,-3.61180,0.50320
3.14180,-66.31526,-3.60099,0.50169
3.14280,-66.31529,-3.59512,0.50087
3.14380,-66.31536,-3.59479,0.50083
3.14480,-66.31550,-3.60019,0.50158
3.14580,-66.31567,-3.61083,0.50306
3.14680,-66.31586,-3.62576,0.50513
3.14780,-66.31607,-3.64356,0.50761
3.14880,-66.31628,-3.66230,0.51022
3.14980,-66.31646,-3.68008,0.51269
3.15080,-66.31660,-3.69501,0.51477
3.15180,-66.31668,-3.70545,0.51622
3.15200,-66.31668,-3.70545,0.51622
3.15280,-66.31671,-3.71042,0.51691
3.15380,-66.31667,-3.70954,0.51679
3.15480,-66.31658,-3.70317,0.51591
3.15580,-66.31646,-3.69197,0.51435
3.15680,-66.31631,-3.67688,0.51225
3.15780,-66.31616,-3.65934,0.50981
3.15880,-66.31601,-3.64090,0.50724
3.15980,-66.31589,-3.62333,0.50479
3.16080,-66.31581,-3.60839,0.50271
3.16180,-66.31578,-3.59750,0.50120
3.16280,-66.31580,-3.59161,0.50038
3.16380,-66.31588,-3.59129,0.50033
3.16480,-66.31601,-3.59673,0.50109
3.16580,-66.31618,-3.60744,0.50258
3.16680,-66.31638,-3.62252,0.50467
3.16780,-66.31658,-3.64055,0.50718
3.16800,-66.31658,-3.64055,0.50718
3.16880,-66.31679,-3.65959,0.50983
3.16980,-66.31696,-3.67766,0.51235
3.17080,-66.31709,-3.69285,0.51446
3.17180,-66.31717,-3.70352,0.51595
3.17280,-66.31719,-3.70870,0.51667
3.17380,-66.31715,-3.70804,0.51658
3.17480,-66.31706,-3.70187,0.51572
3.17580,-66.31692,-3.69078,0.51418
3.17680,-66.31677,-3.67572,0.51208
3.17780,-66.31661,-3.65810,0.50963
3.17880,-66.31645,-3.63951,0.50704
3.17980,-66.31633,-3.62175,0.50457
3.18080,-66.31624,-3.60657,0.50245
3.18180,-66.31620,-3.59536,0.50089
3.18280,-66.31622,-3.58908,0.50002
3.18380,-66.31629,-3.58834,0.49991
3.18400,-66.31629,-3.58834,0.49991
3.18480,-66.31642,-3.59336,0.50061
3.18580,-66.31659,-3.60369,0.50205
3.18680,-66.31679,-3.61845,0.50410
3.18780,-66.31700,-3.63620,0.50657
3.18880,-66.31720,-3.65497,0.50918
3.18980,-66.31738,-3.67284,0.51167
3.19080,-66.31752,-3.68789,0.51376
3.19180,-66.31761,-3.69854,0.51525
3.19280,-66.31763,-3.70376,0.51597
3.19380,-66.31759,-3.70317,0.51589
3.19480,-66.31751,-3.69709,0.51505
3.19580,-66.31738,-3.68611,0.51352
3.19680,-66.31724,-3.67123,0.51145
3.19780,-66.31708,-3.65388,0.50903
3.19880,-66.31694,-3.63562,0.50649
3.19980,-66.31681,-3.61821,0.50407
3.20000,-66.31681,-3.61821,0.50407
3.20080,-66.31673,-3.60336,0.50200
3.20180,-66.31669,-3.59248,0.50048
3.20280,-66.31671,-3.58654,0.49966
3.20380,-66.31679,-3.58613,0.49960
3.20480,-66.31690,-3.59146,0.50034
3.20580,-66.31707,-3.60202,0.50181
3.20680,-66.31727,-3.61689,0.50388
3.20780,-66.31747,-3.63465,0.50635
3.20880,-66.31767,-3.65333,0.50895
3.20980,-66.31784,-3.67104,0.51141
3.21080,-66.31797,-3.68588,0.51348
3.21180,-66.31805,-3.69626,0.51492
3.21280,-66.31807,-3.70116,0.51560
3.21380,-66.31803,-3.70020,0.51547
3.21480,-66.31793,-3.69375,0.51457
3.21580,-66.31780,-3.68246,0.51300
3.21600,-66.31780,-3.68246,0.51300
3.21680,-66.31765,-3.66731,0.51090
3.21780,-66.31749,-3.64976,0.50845
3.21880,-66.31734,-3.63138,0.50589
3.21980,-66.31722,-3.61394,0.50347
3.22080,-66.31714,-3.59921,0.50142
3.22180,-66.31711,-3.58859,0.49994
3.22280,-66.31713,-3.58306,0.49917
3.22380,-66.31721,-3.58316,0.49918
3.22480,-66.31734,-3.58903,0.49999
3.22580,-66.31751,-3.60018,0.50155
3.22680,-66.31770,-3.61566,0.50370
3.22780,-66.31791,-3.63402,0.50625
3.22880,-66.31810,-3.65325,0.50893
3.22980,-66.31826,-3.67138,0.51145
3.23080,-66.31839,-3.68647,0.51355
3.23180,-66.31845,-3.69695,0.51501
3.23200,-66.31845,-3.69695,0.51501
3.23280,-66.31846,-3.70185,0.51569
3.23380,-66.31841,-3.70087,0.51556
3.23480,-66.31830,-3.69436,0.51465
3.23580,-66.31816,-3.68294,0.51306
3.23680,-66.31799,-3.66759,0.51093
3.23780,-66.31782,-3.64977,0.50845
3.23880,-66.31766,-3.63110,0.50585
3.23980,-66.31753,-3.61338,0.50338
3.24080,-66.31744,-3.59837,0.50129
3.24180,-66.31741,-3.58742,0.49977
3.24280,-66.31743,-3.58153,0.49895
3.24380,-66.31751,-3.58125,0.49891
3.24480,-66.31764,-3.58679,0.49968
3.24580,-66.31781,-3.59766,0.50119
3.24680,-66.31801,-3.61291,0.50331
3.24780,-66.31822,-3.63107,0.50584
3.24800,-66.31822,-3.63107,0.50584
3.24880,-66.31842,-3.65013,0.50849
3.24980,-66.31860,-3.66814,0.51100
3.25080,-66.31873,-3.68321,0.51309
3.25180,-66.31881,-3.69375,0.51456
3.25280,-66.31883,-3.69879,0.51526
3.25380,-66.31879,-3.69797,0.51515
