Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.26280,-63.23579,-1.52578,0.23201
0.26380,-63.23671,-1.53128,0.23284
0.26480,-63.23764,-1.53673,0.23366
0.26580,-63.23857,-1.54209,0.23447
0.26680,-63.23951,-1.54734,0.23526
0.26780,-63.24045,-1.55244,0.23603
0.26880,-63.24140,-1.55743,0.23678
0.26980,-63.24236,-1.56233,0.23752
0.27080,-63.24332,-1.56714,0.23825
0.27180,-63.24429,-1.57188,0.23896
0.27200,-63.24429,-1.57188,0.23896
0.27280,-63.24527,-1.57655,0.23966
0.27380,-63.24625,-1.58116,0.24036
0.27480,-63.24724,-1.58576,0.24105
0.27580,-63.24823,-1.59040,0.24175
0.27680,-63.24924,-1.59511,0.24246
0.27780,-63.25025,-1.59987,0.24318
0.27880,-63.25126,-1.60469,0.24390
0.27980,-63.25228,-1.60957,0.24464
0.28080,-63.25331,-1.61452,0.24538
0.28180,-63.25434,-1.61958,0.24614
0.28280,-63.25538,-1.62474,0.24692
0.28380,-63.25642,-1.62997,0.24771
0.28480,-63.25748,-1.63525,0.24851
0.28580,-63.25853,-1.64055,0.24930
0.28680,-63.25960,-1.64586,0.25010
0.28780,-63.26067,-1.65118,0.25090
0.28800,-63.26067,-1.65118,0.25090
0.28880,-63.26175,-1.65652,0.25171
0.28980,-63.26284,-1.66185,0.25251
0.29080,-63.26392,-1.66716,0.25331
0.29180,-63.26502,-1.67248,0.25411
0.29280,-63.26613,-1.67782,0.25491
0.29380,-63.26724,-1.68322,0.25573
0.29480,-63.26835,-1.68870,0.25655
0.29580,-63.26947,-1.69425,0.25739
0.29680,-63.27060,-1.69987,0.25823
0.29780,-63.27173,-1.70556,0.25909
0.29880,-63.27287,-1.71136,0.25996
0.29980,-63.27402,-1.71727,0.26085
0.30080,-63.27518,-1.72331,0.26176
0.30180,-63.27634,-1.72945,0.26269
0.30280,-63.27750,-1.73567,0.26362
0.30380,-63.27868,-1.74193,0.26456
0.30400,-63.27868,-1.74193,0.26456
0.30480,-63.27985,-1.74826,0.26552
0.30580,-63.28103,-1.75466,0.26648
0.30680,-63.28222,-1.76114,0.26746
0.30780,-63.28340,-1.76769,0.26844
0.30880,-63.28458,-1.77426,0.26943
0.30980,-63.28577,-1.78083,0.27042
0.31080,-63.28696,-1.78738,0.27141
0.31180,-63.28814,-1.79391,0.27239
0.31280,-63.28933,-1.80038,0.27336
0.31380,-63.29052,-1.80674,0.27432
0.31480,-63.29170,-1.81294,0.27525
0.31580,-63.29290,-1.81894,0.27615
0.31680,-63.29411,-1.82470,0.27702
0.31780,-63.29532,-1.83022,0.27785
0.31880,-63.29654,-1.83548,0.27864
0.31980,-63.29776,-1.84041,0.27938
0.32000,-63.29776,-1.84041,0.27938
0.32080,-63.29899,-1.84495,0.28006
0.32180,-63.30023,-1.84905,0.28067
0.32280,-63.30147,-1.85268,0.28121
0.32380,-63.30272,-1.85582,0.28168
0.32480,-63.30397,-1.85845,0.28207
0.32580,-63.30524,-1.86054,0.28237
0.32680,-63.30652,-1.86206,0.28259
0.32780,-63.30781,-1.86301,0.28273
0.32880,-63.30912,-1.86341,0.28278
0.32980,-63.31045,-1.86329,0.28275
0.33080,-63.31179,-1.86266,0.28265
0.33180,-63.31315,-1.86149,0.28246
0.33280,-63.31453,-1.85977,0.28219
0.33380,-63.31594,-1.85749,0.28183
0.33480,-63.31737,-1.85467,0.28139
0.33580,-63.31884,-1.85131,0.28087
0.33600,-63.31884,-1.85131,0.28087
0.33680,-63.32032,-1.84741,0.28027
0.33780,-63.32184,-1.84297,0.27958
0.33880,-63.32340,-1.83801,0.27882
0.33980,-63.32499,-1.83256,0.27798
0.34080,-63.32662,-1.82672,0.27708
0.34180,-63.32829,-1.82055,0.27613
0.34280,-63.32999,-1.81409,0.27514
0.34380,-63.33174,-1.80733,0.27410
0.34480,-63.33353,-1.80025,0.27301
0.34580,-63.33538,-1.79278,0.27187
0.34680,-63.33726,-1.78488,0.27066
0.34780,-63.33919,-1.77647,0.26937
0.34880,-63.34118,-1.76745,0.26798
0.34980,-63.34321,-1.75769,0.26649
0.35080,-63.34530,-1.74709,0.26487
0.35180,-63.34743,-1.73558,0.26311
0.35200,-63.34743,-1.73558,0.26311
0.35280,-63.34962,-1.72311,0.26120
0.35380,-63.35188,-1.70965,0.25914
0.35480,-63.35419,-1.69519,0.25694
0.35580,-63.35657,-1.67966,0.25456
0.35680,-63.35902,-1.66300,0.25202
0.35780,-63.36154,-1.64518,0.24931
0.35880,-63.36413,-1.62623,0.24642
0.35980,-63.36680,-1.60621,0.24337
0.36080,-63.36955,-1.58516,0.24016
0.36180,-63.37238,-1.56313,0.23680
0.36280,-63.37531,-1.54018,0.23331
0.36380,-63.37832,-1.51643,0.22969
0.36480,-63.38144,-1.49201,0.22597
0.36580,-63.38465,-1.46705,0.22217
0.36680,-63.38797,-1.44166,0.21831
0.36780,-63.39139,-1.41587,0.21438
0.36800,-63.39139,-1.41587,0.21438
0.36880,-63.39492,-1.38974,0.21040
0.36980,-63.39856,-1.36330,0.20638
0.37080,-63.40231,-1.33660,0.20232
0.37180,-63.40618,-1.30970,0.19823
0.37280,-63.41016,-1.28259,0.19410
0.37380,-63.41427,-1.25525,0.18994
0.37480,-63.41849,-1.22769,0.18575
0.37580,-63.42283,-1.19990,0.18153
0.37680,-63.42729,-1.17192,0.17727
0.37780,-63.43187,-1.14376,0.17299
0.37880,-63.43658,-1.11542,0.16868
0.37980,-63.44140,-1.08691,0.16435
0.38080,-63.44635,-1.05820,0.15999
0.38180,-63.45143,-1.02931,0.15560
0.38280,-63.45663,-1.00030,0.15119
0.38380,-63.46196,-0.97122,0.14677
0.38400,-63.46196,-0.97122,0.14677
0.38480,-63.46742,-0.94215,0.14236
0.38580,-63.47300,-0.91316,0.13796
0.38680,-63.47872,-0.88433,0.13358
0.38780,-63.48455,-0.85578,0.12925
0.38880,-63.49052,-0.82766,0.12498
0.38980,-63.49661,-0.80013,0.12080
0.39080,-63.50282,-0.77330,0.11673
0.39180,-63.50917,-0.74731,0.11279
0.39280,-63.51564,-0.72227,0.10899
0.39380,-63.52224,-0.69834,0.10536
0.39480,-63.52896,-0.67567,0.10192
0.39580,-63.53580,-0.65441,0.09870
0.39680,-63.54275,-0.63466,0.09570
0.39780,-63.54981,-0.61650,0.09294
0.39880,-63.55699,-0.59994,0.09043
0.39980,-63.56427,-0.58495,0.08815
0.40000,-63.56427,-0.58495,0.08815
0.40080,-63.57164,-0.57149,0.08610
0.40180,-63.57912,-0.55950,0.08428
0.40280,-63.58668,-0.54887,0.08266
0.40380,-63.59431,-0.53945,0.08123
0.40480,-63.60204,-0.53105,0.07995
0.40580,-63.60983,-0.52353,0.07880
0.40680,-63.61768,-0.51675,0.07776
0.40780,-63.62560,-0.51056,0.07681
0.40880,-63.63359,-0.50481,0.07593
0.40980,-63.64162,-0.49933,0.07509
