Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep cartilage, Medial, Without LS.

Bone cement hadn't fully hardened causing the bone to sink with compressive forces applied. Aborted test and waited."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.32880,-59.72977,-0.33416,0.04732
0.32980,-59.73730,-0.37220,0.05269
0.33080,-59.74473,-0.41183,0.05829
0.33180,-59.75209,-0.45300,0.06411
0.33280,-59.75934,-0.49569,0.07014
0.33380,-59.76650,-0.53982,0.07637
0.33480,-59.77354,-0.58524,0.08278
0.33580,-59.78048,-0.63182,0.08935
0.33600,-59.78048,-0.63182,0.08935
0.33680,-59.78730,-0.67949,0.09608
0.33780,-59.79400,-0.72819,0.10295
0.33880,-59.80057,-0.77788,0.10995
0.33980,-59.80700,-0.82844,0.11708
0.34080,-59.81331,-0.87965,0.12430
0.34180,-59.81947,-0.93128,0.13157
0.34280,-59.82549,-0.98312,0.13888
0.34380,-59.83137,-1.03507,0.14620
0.34480,-59.83710,-1.08713,0.15353
0.34580,-59.84268,-1.13920,0.16086
0.34680,-59.84811,-1.19114,0.16817
0.34780,-59.85338,-1.24272,0.17543
0.34880,-59.85850,-1.29378,0.18261
0.34980,-59.86347,-1.34424,0.18971
0.35080,-59.86829,-1.39411,0.19672
0.35180,-59.87295,-1.44342,0.20366
0.35200,-59.87295,-1.44342,0.20366
0.35280,-59.87747,-1.49216,0.21051
0.35380,-59.88183,-1.54018,0.21726
0.35480,-59.88606,-1.58737,0.22390
0.35580,-59.89013,-1.63370,0.23041
0.35680,-59.89406,-1.67920,0.23680
0.35780,-59.89785,-1.72389,0.24308
0.35880,-59.90150,-1.76773,0.24924
0.35980,-59.90502,-1.81061,0.25526
0.36080,-59.90841,-1.85238,0.26113
0.36180,-59.91166,-1.89294,0.26683
0.36280,-59.91479,-1.93226,0.27235
0.36380,-59.91779,-1.97046,0.27771
0.36480,-59.92067,-2.00760,0.28293
0.36580,-59.92345,-2.04365,0.28799
0.36680,-59.92610,-2.07853,0.29288
0.36780,-59.92865,-2.11214,0.29760
0.36800,-59.92865,-2.11214,0.29760
0.36880,-59.93109,-2.14447,0.30214
0.36980,-59.93343,-2.17563,0.30651
0.37080,-59.93568,-2.20576,0.31074
0.37180,-59.93783,-2.23496,0.31483
0.37280,-59.93989,-2.26322,0.31880
0.37380,-59.94186,-2.29046,0.32262
0.37480,-59.94377,-2.31662,0.32629
0.37580,-59.94558,-2.34176,0.32981
0.37680,-59.94733,-2.36601,0.33321
0.37780,-59.94900,-2.38951,0.33651
0.37880,-59.95060,-2.41228,0.33970
0.37980,-59.95215,-2.43426,0.34278
0.38080,-59.95363,-2.45537,0.34574
0.38180,-59.95506,-2.47555,0.34857
0.38280,-59.95643,-2.49491,0.35129
0.38380,-59.95774,-2.51359,0.35391
0.38400,-59.95774,-2.51359,0.35391
0.38480,-59.95902,-2.53165,0.35644
0.38580,-59.96024,-2.54902,0.35887
0.38680,-59.96142,-2.56561,0.36120
0.38780,-59.96256,-2.58137,0.36341
0.38880,-59.96367,-2.59636,0.36551
0.38980,-59.96473,-2.61074,0.36752
0.39080,-59.96576,-2.62465,0.36947
0.39180,-59.96677,-2.63811,0.37135
0.39280,-59.96774,-2.65106,0.37317
0.39380,-59.96869,-2.66348,0.37491
0.39480,-59.96962,-2.67541,0.37658
0.39580,-59.97052,-2.68700,0.37820
0.39680,-59.97140,-2.69833,0.37979
0.39780,-59.97226,-2.70938,0.38133
0.39880,-59.97311,-2.72007,0.38283
0.39980,-59.97393,-2.73034,0.38427
0.40000,-59.97393,-2.73034,0.38427
0.40080,-59.97475,-2.74017,0.38564
0.40180,-59.97554,-2.74960,0.38696
0.40280,-59.97633,-2.75871,0.38824
0.40380,-59.97710,-2.76759,0.38948
0.40480,-59.97786,-2.77626,0.39069
0.40580,-59.97862,-2.78469,0.39187
0.40680,-59.97937,-2.79283,0.39301
0.40780,-59.98011,-2.80071,0.39411
0.40880,-59.98084,-2.80837,0.39518
0.40980,-59.98157,-2.81587,0.39623
0.41080,-59.98229,-2.82330,0.39727
0.41180,-59.98301,-2.83068,0.39830
0.41280,-59.98373,-2.83797,0.39932
0.41380,-59.98444,-2.84512,0.40032
0.41480,-59.98516,-2.85212,0.40130
0.41580,-59.98588,-2.85902,0.40226
0.41600,-59.98588,-2.85902,0.40226
0.41680,-59.98659,-2.86588,0.40322
0.41780,-59.98731,-2.87273,0.40417
0.41880,-59.98802,-2.87958,0.40513
0.41980,-59.98874,-2.88637,0.40608
0.42080,-59.98946,-2.89304,0.40701
0.42180,-59.99017,-2.89953,0.40791
0.42280,-59.99089,-2.90587,0.40880
0.42380,-59.99161,-2.91216,0.40968
0.42480,-59.99232,-2.91846,0.41056
0.42580,-59.99304,-2.92478,0.41144
0.42680,-59.99375,-2.93105,0.41231
0.42780,-59.99447,-2.93718,0.41317
0.42880,-59.99519,-2.94317,0.41400
0.42980,-59.99590,-2.94907,0.41482
0.43080,-59.99662,-2.95503,0.41566
0.43180,-59.99735,-2.96116,0.41651
0.43200,-59.99735,-2.96116,0.41651
0.43280,-59.99807,-2.96743,0.41738
0.43380,-59.99881,-2.97374,0.41826
0.43480,-59.99955,-2.98001,0.41914
0.43580,-60.00029,-2.98625,0.42001
0.43680,-60.00104,-2.99261,0.42089
0.43780,-60.00178,-2.99918,0.42181
