Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep, Medial, Without LS. SS316 indenter. 
Issues with PID - had to abort the test."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.63380,-61.09804,-4.32503,0.60849
0.63680,-61.09920,-4.34620,0.61145
0.63980,-61.10036,-4.36735,0.61441
0.64000,-61.10036,-4.36735,0.61441
0.64180,-61.10113,-4.38140,0.61637
0.64480,-61.10230,-4.40251,0.61933
0.64680,-61.10307,-4.41644,0.62127
0.64980,-61.10423,-4.43746,0.62421
0.65180,-61.10500,-4.45145,0.62617
0.65480,-61.10616,-4.47261,0.62912
0.65600,-61.10655,-4.47972,0.63012
0.65780,-61.10732,-4.49392,0.63210
0.65980,-61.10809,-4.50820,0.63410
0.66280,-61.10925,-4.52976,0.63711
0.66580,-61.11041,-4.55131,0.64012
0.66780,-61.11119,-4.56582,0.64215
0.67080,-61.11235,-4.58744,0.64517
0.67200,-61.11273,-4.59464,0.64618
0.67380,-61.11351,-4.60904,0.64819
0.67680,-61.11467,-4.63040,0.65118
0.67880,-61.11544,-4.64461,0.65316
0.68180,-61.11660,-4.66580,0.65612
0.68380,-61.11738,-4.67988,0.65809
0.68680,-61.11854,-4.70119,0.66107
0.68800,-61.11892,-4.70827,0.66206
0.68880,-61.11931,-4.71534,0.66304
0.69180,-61.12047,-4.73653,0.66600
0.69480,-61.12162,-4.75777,0.66897
0.69680,-61.12240,-4.77217,0.67098
0.69980,-61.12356,-4.79396,0.67402
0.70280,-61.12472,-4.81596,0.67710
0.70400,-61.12511,-4.82333,0.67813
0.70580,-61.12588,-4.83799,0.68017
0.70880,-61.12704,-4.86005,0.68325
0.71180,-61.12820,-4.88219,0.68635
0.71480,-61.12936,-4.90437,0.68944
0.71680,-61.13013,-4.91911,0.69150
0.71980,-61.13129,-4.94098,0.69456
0.72000,-61.13129,-4.94098,0.69456
0.72280,-61.13246,-4.96276,0.69760
0.72580,-61.13362,-4.98422,0.70059
0.72780,-61.13439,-4.99856,0.70260
0.73080,-61.13554,-5.02012,0.70561
0.73380,-61.13670,-5.04204,0.70866
0.73600,-61.13747,-5.05666,0.71070
0.73680,-61.13785,-5.06394,0.71172
0.73980,-61.13899,-5.08580,0.71477
0.74280,-61.14011,-5.10742,0.71779
0.74480,-61.14087,-5.12184,0.71980
0.74780,-61.14198,-5.14345,0.72282
0.75080,-61.14308,-5.16515,0.72585
0.75200,-61.14345,-5.17241,0.72686
0.75380,-61.14418,-5.18681,0.72887
0.75680,-61.14527,-5.20830,0.73187
0.75980,-61.14635,-5.22990,0.73489
0.76280,-61.14744,-5.25181,0.73794
0.76580,-61.14849,-5.27401,0.74104
0.76800,-61.14919,-5.28896,0.74313
0.76880,-61.14954,-5.29649,0.74418
0.77280,-61.15090,-5.32637,0.74835
0.77580,-61.15191,-5.34866,0.75147
0.77680,-61.15224,-5.35596,0.75248
0.77880,-61.15290,-5.37028,0.75448
0.78380,-61.15448,-5.40482,0.75931
0.78400,-61.15448,-5.40482,0.75931
0.79580,-61.15763,-5.47295,0.76881
